Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Liechtenstein,LIE,..,..,58.99002935,58.69446665,61.43288218,61.92172469,60.46879241,62.59202627,63.13444144,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lithuania,LTU,3.096778514,17.18556439,20.08648269,21.45765236,22.73827261,23.9225825,26.34251347,27.70505248,28.96117925,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Luxembourg,LUX,1.721832398,6.854022816,3.737162366,3.659683026,3.733296015,4.147856832,5.723199451,6.883231945,9.031313661,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Macao SAR, China",MAC,0.66098296,0.177456418,3.216439303,5.811880139,5.513253481,9.866821329,14.42308575,10.02047062,7.051363049,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Macedonia, FYR",MKD,2.410188215,19.37627019,18.46546403,22.3303036,18.64403534,18.28229655,21.19708744,21.20423858,24.21812973,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Madagascar,MDG,85.64727683,78.39990119,83.17579674,81.93107572,78.84478146,76.39690018,72.74314641,72.02652708,70.17441591,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Malawi,MWI,84.03097805,82.46920682,83.36206008,79.47031403,79.66270647,80.37294685,79.8747971,79.95087904,83.6494337,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Malaysia,MYS,11.98054361,6.743503724,4.23012405,3.819042295,4.107762964,4.410310606,4.486299645,4.769773637,5.194442589,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Maldives,MDV,4.458738895,2.126459269,1.264801622,1.164190484,1.140590425,1.039512377,1.041355828,0.903032402,1.009594693,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Mali,MLI,88.63756683,85.38847575,72.70718331,69.12568403,66.6491335,64.92862094,62.40939748,64.59126071,61.52698472,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Malta,MLT,0,0,0.263477406,1.387207134,2.026620693,2.595071855,2.580532947,3.930100863,5.355004746,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Marshall Islands,MHL,..,19.57142695,13.96299806,13.30876071,12.05983123,12.0128203,12.06799216,12.01899833,11.16448465,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Mauritania,MRT,46.99974359,44.4105076,33.42557912,33.9988157,33.28260162,31.84257648,34.19616519,32.01933582,32.15957247,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Mauritius,MUS,47.06782744,20.42138254,12.87337846,13.658429,12.1429182,11.60886551,11.43757546,10.63386133,11.53736196,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Mexico,MEX,14.41330169,12.16735994,9.168405481,9.359977543,9.066472235,8.964824208,9.231363457,9.758462423,9.215213455,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Micronesia, Fed. Sts.",FSM,..,1.192353649,1.146705141,1.500334041,1.427523894,1.322910871,1.24930742,1.157990361,1.196237862,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Moldova,MDA,1.140957938,5.722138713,4.860461127,8.440061982,9.887070926,10.46933036,13.07886258,13.04735002,14.27368871,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Mongolia,MNG,1.89262443,5.713471108,4.36488739,4.348320566,3.899355383,2.847908701,2.924524461,3.269842824,3.42973729,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Montenegro,MNE,..,..,49.16422976,49.09400765,42.83282857,45.91251069,49.37777669,45.99433488,43.00406055,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Morocco,MAR,19.48255574,15.25900974,14.75654491,14.40785881,12.35167755,11.40499417,12.05025651,11.71858728,11.31745963,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Mozambique,MOZ,93.10356192,93.60756443,91.66605281,91.30460426,90.45771948,90.82147005,90.31607107,88.85704783,86.40050892,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Myanmar,MMR,90.90734721,80.16367444,85.62958632,84.40455649,83.86031305,77.90955817,74.10515902,66.13285379,61.52781165,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Namibia,NAM,..,33.51405433,27.07544429,26.37391934,27.9422018,28.55746861,28.27231269,27.61747181,26.46842984,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Nauru,NRU,0,0,0.084618534,0.083696109,0.0925676,0.092257544,0.081319789,0.07885016,0.076290366,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Nepal,NPL,95.11971454,88.28454556,88.92708666,87.29244859,86.94551203,84.69734034,86.25309589,84.37478906,85.26395819,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Netherlands,NLD,1.201611136,1.751963262,4.410131668,3.873162742,4.696714057,4.962298743,5.024976324,5.659627737,5.889463079,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,New Caledonia,NCL,10.15799083,7.182640669,6.705239281,4.478810198,5.568845868,6.195857234,6.228565034,3.982523019,4.759221211,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,New Zealand,NZL,30.03059277,28.95808981,30.22503243,31.32269173,32.1281911,30.47484154,30.00587283,30.32263714,30.78917555,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Nicaragua,NIC,68.76593683,58.36679855,52.79614315,52.64110322,51.67871516,52.07877351,52.55522162,51.83928357,48.20490919,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Niger,NER,..,87.68816385,83.2964811,80.70682998,77.27095453,72.74666524,78.73374228,78.14143846,78.93982752,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Nigeria,NGA,87.77597276,86.19026509,88.83185073,86.7812381,86.15336544,86.44862816,86.78431,87.29924781,86.63562156,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Northern Mariana Islands,MNP,..,0,0,0,0,0,0,0,0,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Norway,NOR,59.17374641,60.18813121,56.77092509,56.42455578,56.52932897,58.27585039,57.72594953,57.19640195,57.7720016,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Oman,OMN,0,0,0,0,0,0,0,0,0,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Pakistan,PAK,57.50053324,50.95914949,45.77233981,46.7220403,46.07094048,46.52323559,47.46095201,46.60452974,46.47632492,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Palau,PLW,..,0,0,0,0,0,0,0,0,..,..,..
